,id,provider,title,description,category,skill level,is_paid,class,rating,URL,processed_description
0,1,datacamp,Introduction to Python,"Python is a general-purpose programming language that is becoming ever more popular for data science. Companies worldwide are using Python to harvest insights from their data and gain a competitive edge. Unlike other Python tutorials, this course focuses on Python specifically for data science. In our Introduction to Python course, you’ll learn about powerful ways to store and manipulate data, and helpful data science tools to begin conducting your own analyses.","programming language, machine learning, data science",beginner,yes,paid,,https://www.datacamp.com/courses/intro-to-python-for-data-science,python generalpurpose programming language becoming ever popular data science company worldwide using python harvest insight data gain competitive edge unlike python tutorial course focus python specifically data science introduction python course youll learn powerful way store manipulate data helpful data science tool begin conducting analysis
1,2,datacamp,Introduction to R,"In this introduction to R course, you'll master the basics of this widely used open source language—including vectors, factors, lists, and data frames. With the coding skills you'll gain in this course, you'll be ready to undertake your own data analysis in R. There are millions of R users worldwide, cementing it as a leading programming language in statistics and data science.","programming language, machine learning, data science",beginner,yes,paid,,https://www.datacamp.com/courses/free-introduction-to-r,introduction r course youll master basic widely used open source languageincluding vector factor list data frame coding skill youll gain course youll ready undertake data analysis r million r user worldwide cementing leading programming language statistic data science
2,3,datacamp,Introduction to SQL,"Much of the world's raw data—from electronic medical records to customer transaction histories—lives in organized collections of tables called relational databases. Being able to wrangle and extract data from these databases using SQL is an essential skill within the data industry and in increasing demand. In this two-hour introduction to SQL, you'll get to know the theory and the practice through bite-sized videos and interactive exercises where you can put your new-found skills to the test. SQL is an essential language for building and maintaining relational databases, which opens the door to a range of careers in the data industry and beyond. You’ll start this course by covering data organization, tables, and best practices for database construction. The second half of this course looks at creating SQL queries for selecting data that you need from your database. You’ll have the chance to practice your querying skills before moving on to customizing and saving your results. PostgreSQL and SQL Server are two of the most popular SQL flavors. You’ll finish off this course by looking at the differences, benefits, and applications of each. By the end of the course you’ll have some hands-on experience in learning SQL and the grounding to start applying it on projects or continue your learning in a more specialized direction.","database management, data science, data analytics",beginner,yes,paid,,https://www.datacamp.com/courses/introduction-to-sql,much world raw datafrom electronic medical record customer transaction historieslives organized collection table called relational database able wrangle extract data database using sql essential skill within data industry increasing demand twohour introduction sql youll get know theory practice bitesized video interactive exercise put newfound skill test sql essential language building maintaining relational database open door range career data industry beyond youll start course covering data organization table best practice database construction second half course look creating sql query selecting data need database youll chance practice querying skill moving customizing saving result postgresql sql server two popular sql flavor youll finish course looking difference benefit application end course youll handson experience learning sql grounding start applying project continue learning specialized direction
3,4,datacamp,Introduction to Tableau,"Tableau is a widely used business intelligence (BI) and analytics software trusted by companies like Amazon, Experian, and Unilever to explore, visualize, and securely share data in the form of Workbooks and Dashboards. With its user-friendly drag-and-drop functionality it can be used by everyone to quickly clean, analyze, and visualize your team’s data. You’ll learn how to navigate Tableau’s interface and connect and present data using easy-to-understand visualizations. By the end of this training, you’ll have the skills you need to confidently explore Tableau and build impactful data dashboards. Let’s dive in.","data science, data analytics",beginner,yes,paid,,https://www.datacamp.com/courses/introduction-to-tableau,tableau widely used business intelligence bi analytics software trusted company like amazon experian unilever explore visualize securely share data form workbook dashboard userfriendly draganddrop functionality used everyone quickly clean analyze visualize team data youll learn navigate tableau interface connect present data using easytounderstand visualization end training youll skill need confidently explore tableau build impactful data dashboard let dive
4,5,datacamp,Introduction to Power BI,"Gain a 360° overview of exploring and using Power BI to build impactful reports. In this course, you’ll go from zero to hero as you discover how to use this popular business intelligence platform through hands-on exercises. Before diving into creating visualizations using Power BI's drag-and-drop functionality, you’ll first learn how to confidently load and transform data using Power Query and the importance of data models. You’ll also learn to drill down into reports and make your reports fully interactive. ","data science, data analytics",beginner,yes,paid,,https://www.datacamp.com/courses/introduction-to-power-bi,gain 360 overview exploring using power bi build impactful report course youll go zero hero discover use popular business intelligence platform handson exercise diving creating visualization using power bi draganddrop functionality youll first learn confidently load transform data using power query importance data model youll also learn drill report make report fully interactive
5,6,datacamp,Data Engineer,"In this track, you’ll discover everything you need to know to become a data engineer by learning Python, SQL, and Git from scratch. You'll discover how to interact with relational databases to query, input, and modify data and get hands-on experience in importing and cleaning data in Python, optimizing your code for efficiency, and writing tests to validate your code. Throughout this track, you’ll learn some of the essential data engineering tools, starting with SQL and Python, before moving on to topics such as cloud computing, clearing data, and working with Git. These foundational skills will allow you to work with data in various ways, building the knowledge you need to become a data engineer.  You'll also learn the key concepts and skills required by data engineers such as how to interpret data visualizations, create functions, and utilize version control. By the end of this track, you'll be equipped with the necessary tools and knowledge to progress your career by handling common data engineering duties.","data science, data analytics, database management",any,yes,paid,,https://www.datacamp.com/tracks/data-engineer,track youll discover everything need know become data engineer learning python sql git scratch youll discover interact relational database query input modify data get handson experience importing cleaning data python optimizing code efficiency writing test validate code throughout track youll learn essential data engineering tool starting sql python moving topic cloud computing clearing data working git foundational skill allow work data various way building knowledge need become data engineer youll also learn key concept skill required data engineer interpret data visualization create function utilize version control end track youll equipped necessary tool knowledge progress career handling common data engineering duty
6,7,datacamp,Data Scientist Professional with Python,"Master the skills you need to pass the Data Scientist Professional with Python certification and prepare yourself for success in the field of data science. Throughout this track, you will focus on using Python for data science, starting with the basics and progressing to more advanced topics such as machine learning. You’ll cover a broad range of areas, including data manipulation, visualization, and analysis, using popular Python libraries such as pandas, Seaborn, Matplotlib, and scikit-learn. As you progress, you’ll work through interactive exercises using real-world datasets to help you test your abilities and develop your skills. These examples will help you explore various statistical and machine learning techniques, including hypothesis testing and predictive modeling. You’ll also gain an understanding of package development, data preprocessing, SQL for relational databases, Git for data science projects, and more. Complete this track to gain the knowledge and experience necessary to confidently pass the Data Scientist Professional with Python certification and thrive as a data scientist.",data science,any,yes,paid,,https://www.datacamp.com/tracks/data-scientist-professional-with-python,master skill need pas data scientist professional python certification prepare success field data science throughout track focus using python data science starting basic progressing advanced topic machine learning youll cover broad range area including data manipulation visualization analysis using popular python library panda seaborn matplotlib scikitlearn progress youll work interactive exercise using realworld datasets help test ability develop skill example help explore various statistical machine learning technique including hypothesis testing predictive modeling youll also gain understanding package development data preprocessing sql relational database git data science project complete track gain knowledge experience necessary confidently pas data scientist professional python certification thrive data scientist
7,8,datacamp,Data Scientist Professional with R,"Master the skills you need to pass the Data Scientist Professional with R certification and prepare yourself for success in the field of data science. As you progress through the courses in this track, you will focus on using R for data science. You will explore how learning data science with R can help you to import, clean, manipulate, and visualize data, and develop a solid foundation for your data science journey. You’ll cover a range of different skills, including data manipulation, visualization, and analysis, using popular R packages like ggplot2, dplyr, and readr. You will work with real-world datasets as you write your own functions and learn foundational statistical and machine learning techniques. You will also gain an understanding of SQL for relational databases and Git for data science projects, two essential tools for any data scientist. Through interactive exercises, you will get hands-on experience with R programming and the popular packages used in the field of data science. Completing this track will give you the knowledge and experience necessary to confidently pass the Data Scientist Professional with R certification and thrive as a data scientist.",data science,any,yes,paid,,https://www.datacamp.com/tracks/data-scientist-professional-with-r,master skill need pas data scientist professional r certification prepare success field data science progress course track focus using r data science explore learning data science r help import clean manipulate visualize data develop solid foundation data science journey youll cover range different skill including data manipulation visualization analysis using popular r package like ggplot2 dplyr readr work realworld datasets write function learn foundational statistical machine learning technique also gain understanding sql relational database git data science project two essential tool data scientist interactive exercise get handson experience r programming popular package used field data science completing track give knowledge experience necessary confidently pas data scientist professional r certification thrive data scientist
8,9,datacamp,Machine Learning Scientist with Python,"Master the essential Python skills to land a job as a machine learning scientist! With this track, you'll gain a comprehensive introduction to machine learning in Python. You’ll augment your existing Python programming skill set with the tools needed to perform supervised, unsupervised, and deep learning. You'll learn how to process data for features, train your models, assess performance, and tune parameters for better performance. This track also covers topics including tree-based machine learning models, cluster analysis, preprocessing for machine learning, and more. By the time you finish, you’ll have the confidence to use Python for machine learning, working with real data sets, linear classifiers, gradient boosting, and more. In the process, you'll get an introduction to natural language processing, image processing, and popular Python machine learning packages such as scikit-learn, Spark, and Keras.",machine learning,any,yes,paid,,https://www.datacamp.com/tracks/machine-learning-scientist-with-python,master essential python skill land job machine learning scientist track youll gain comprehensive introduction machine learning python youll augment existing python programming skill set tool needed perform supervised unsupervised deep learning youll learn process data feature train model ass performance tune parameter better performance track also cover topic including treebased machine learning model cluster analysis preprocessing machine learning time finish youll confidence use python machine learning working real data set linear classifier gradient boosting process youll get introduction natural language processing image processing popular python machine learning package scikitlearn spark kera
9,10,datacamp,Python Programmer,"Gain the career-building skills you need to successfully develop software, wrangle data, perform advanced data analysis, and become a Python programmer. No prior coding experience is required; you can start your journey to becoming a Python programmer today! In this track, you’ll learn how to manipulate data, write efficient Python code, and work with challenging data, including date and time data, text data, and web data using APIs. As your skills grow, you'll progress to writing Python functions and unit testing—an essential skill needed to find bugs in your code before your users do! Through interactive exercises, you'll also gain experience working with powerful Python libraries, including NumPy, pytest, and pycodestyle, that will help you perform key programmer tasks such as web development, data analysis, and task automation. By the time you finish this track, you’ll have a firm grasp of what’s needed to become a Python programmer and have the skills to get started as one.",programming language,any,yes,paid,,https://www.datacamp.com/tracks/python-programmer,gain careerbuilding skill need successfully develop software wrangle data perform advanced data analysis become python programmer prior coding experience required start journey becoming python programmer today track youll learn manipulate data write efficient python code work challenging data including date time data text data web data using apis skill grow youll progress writing python function unit testingan essential skill needed find bug code user interactive exercise youll also gain experience working powerful python library including numpy pytest pycodestyle help perform key programmer task web development data analysis task automation time finish track youll firm grasp whats needed become python programmer skill get started one
10,11,datacamp,Statistician with R,"Master the essential skills to land a job as a statistician! Using statistics, you can help solve real-world problems in business, engineering, the sciences, and many other fields. In this track, you'll learn how to use statistical methods to explore and model data, draw conclusions from a wide variety of datasets, and interpret and report findings.","data science, data analytics",any,yes,paid,,https://www.datacamp.com/tracks/statistician-with-r,master essential skill land job statistician using statistic help solve realworld problem business engineering science many field track youll learn use statistical method explore model data draw conclusion wide variety datasets interpret report finding
11,12,datacamp,SQL Server Developer,"Learn the basics of database design and the different SQL data types. Then master the core concepts for the exam. In this track, you’ll learn how to write queries, functions, and stored procedures. You’ll also find out how to manage transactions, handle errors, and improve query performance.",database management,any,yes,paid,,https://www.datacamp.com/tracks/sql-server-developer,learn basic database design different sql data type master core concept exam track youll learn write query function stored procedure youll also find manage transaction handle error improve query performance
12,13,datacamp,Data Analyst with R,"Gain the career-building R skills you need to succeed as a data analyst! No prior coding experience required. In this track, you’ll learn how to import, clean, manipulate, and visualize data in R—all integral skills for any aspiring data professional or researcher. Through interactive exercises, you’ll get hands-on with some of the most popular R packages, including ggplot2 and tidyverse packages like dplyr and readr. You’ll also develop your data manipulation and exploratory data analysis skills by working with a wide range of real-world datasets, including everything from U.S. income data to global food consumption. You’ll then gain the statistical skills you'll need to perform hypothesis testing. Start this track, grow your R skills, and begin your journey to becoming a confident data analyst.",data analytics,any,yes,paid,,https://www.datacamp.com/tracks/data-analyst-with-r,gain careerbuilding r skill need succeed data analyst prior coding experience required track youll learn import clean manipulate visualize data rall integral skill aspiring data professional researcher interactive exercise youll get handson popular r package including ggplot2 tidyverse package like dplyr readr youll also develop data manipulation exploratory data analysis skill working wide range realworld datasets including everything u income data global food consumption youll gain statistical skill youll need perform hypothesis testing start track grow r skill begin journey becoming confident data analyst
13,14,datacamp,Quantitative Analyst with R,"In finance, quantitative analysts ensure portfolios are risk balanced, help find new trading opportunities, and evaluate asset prices using mathematical models.",data analytics,any,yes,paid,,https://www.datacamp.com/tracks/quantitative-analyst-with-r,finance quantitative analyst ensure portfolio risk balanced help find new trading opportunity evaluate asset price using mathematical model
